City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,275.23,58,88,4.36,TF,1689563765
1,ixtapa,20.7,-105.2,303.72,79,75,1.03,MX,1689563765
2,veinticinco de mayo,-35.4323,-60.1727,273.7,81,60,0.89,AR,1689563765
3,nemuro,43.3236,145.575,286.03,93,99,2.96,JP,1689563766
4,grytviken,-54.2811,-36.5092,267.04,87,84,1.68,GS,1689563766
5,blackmans bay,-43.0167,147.3167,289.11,53,35,4.32,AU,1689563767
6,ushuaia,-54.8,-68.3,273.96,75,40,1.54,AR,1689563767
7,kone,-21.0595,164.8658,298.2,42,11,4.23,NC,1689563768
8,papatowai,-46.5619,169.4708,283.41,88,100,7.58,NZ,1689563768
9,invercargill,-46.4,168.35,283.37,93,100,7.72,NZ,1689563768
10,newman,37.3138,-121.0208,309.42,42,99,0.45,US,1689563768
11,obukhiv,50.11,30.6227,295.09,77,19,2.6,UA,1689563769
12,wailua homesteads,22.0669,-159.378,301.39,83,75,8.75,US,1689563769
13,bethel,41.3712,-73.414,297.24,90,100,0.0,US,1689563769
14,port mathurin,-19.6833,63.4167,296.28,71,92,11.42,MU,1689563770
15,el abiodh sidi cheikh,32.893,0.5484,298.38,11,0,3.68,DZ,1689563770
16,thunder bay,48.4001,-89.3168,285.14,94,75,2.06,CA,1689563770
17,simanggang,1.2472,111.4528,304.14,70,20,2.06,MY,1689563770
18,klyuchi,52.2667,79.1667,294.96,59,17,3.47,RU,1689563771
19,atafu village,-8.5421,-172.5159,301.84,77,97,6.84,TK,1689563633
20,haiku-pauwela,20.9219,-156.3051,301.16,55,40,8.75,US,1689563771
21,hermanus,-34.4187,19.2345,287.14,79,100,3.2,ZA,1689563772
22,nobres,-14.7203,-56.3275,296.2,43,2,0.3,BR,1689563772
23,waitangi,-43.9535,-176.5597,283.05,79,100,2.68,NZ,1689563772
24,antalaha,-14.9003,50.2788,293.63,91,74,2.99,MG,1689563772
25,zabol,32.25,67.25,300.84,11,0,0.25,AF,1689563773
26,lerwick,60.1545,-1.1494,285.15,90,100,6.94,GB,1689563773
27,tiksi,71.6872,128.8694,280.41,91,100,4.99,RU,1689563773
28,badger,64.8,-147.5333,295.1,45,100,3.09,US,1689563773
29,naryshkino,52.9678,35.7268,290.24,73,100,2.25,RU,1689563774
30,puerto natales,-51.7236,-72.4875,272.59,90,98,2.07,CL,1689563774
31,adamstown,-25.066,-130.1015,294.37,79,100,3.8,PN,1689563774
32,thompson,55.7435,-97.8558,289.24,82,100,2.06,CA,1689563774
33,bredasdorp,-34.5322,20.0403,285.7,78,100,2.77,ZA,1689563775
34,nishinoomote,30.7333,131.0,304.46,79,75,6.17,JP,1689563775
35,hamilton,39.1834,-84.5333,296.53,91,75,4.63,US,1689563775
36,am timan,11.0297,20.2827,296.62,80,100,0.88,TD,1689563776
37,baidoa,3.1138,43.6498,292.65,89,100,5.72,SO,1689563776
38,san mariano,7.5,126.0,302.96,62,97,1.47,PH,1689563776
39,vallegrande,-18.4897,-64.1069,283.01,97,66,1.83,BO,1689563776
40,makarov,48.6333,142.8,286.42,93,100,1.82,RU,1689563777
41,tazovsky,67.4667,78.7,285.22,63,100,8.24,RU,1689563777
42,hammerfest,70.6634,23.6821,290.4,72,100,6.69,NO,1689563777
43,flying fish cove,-10.4217,105.6791,298.97,83,100,5.14,CX,1689563778
44,kulhudhuffushi,6.6221,73.07,301.34,77,100,7.28,MV,1689563778
45,tolanaro,-25.0319,46.9987,290.83,76,8,2.37,MG,1689563778
46,post,33.1909,-101.3782,304.75,35,0,3.74,US,1689563778
47,oruro,-17.9833,-67.15,278.54,42,0,0.62,BO,1689563779
48,ust-nera,64.5667,143.2,289.64,40,100,2.98,RU,1689563779
49,allahabad,25.45,81.85,304.73,64,90,4.22,IN,1689563779
50,albany,42.6001,-73.9662,295.66,93,100,1.59,US,1689563550
51,cuyo,10.8525,121.0086,301.76,78,71,7.83,PH,1689563780
52,show low,34.2542,-110.0298,303.31,17,0,0.0,US,1689563780
53,jutai,-5.1833,-68.9,295.11,99,44,0.45,BR,1689563780
54,trujillo,-8.116,-79.03,295.13,88,100,4.12,PE,1689563781
